name,slug,address,source,siret,phone,email,website,google_maps_url,google_rating,google_review_count,gbp_link,opening_hours,network_affiliation,agents_names,has_blog,site_quality,is_mobile_friendly,gbp_photo_count,gbp_last_photo_date,gbp_has_posts,gbp_category,screenshot_path,enrichment_status
Foncia Transaction France,foncia-transaction-france-00383,24 RUE DU MOULIN DES PRES 75013 PARIS,"sirene,google_maps",50369866400383,"
01 59 30 36 27",,https://fr.foncia.com/agence-immobiliere/paris-75013/agence-immobiliere/foncia-transaction-paris-buttes-aux-cailles-2071,https://www.google.com/maps/place/FONCIA+%7C+Agence+Immobili%C3%A8re+%7C+Achat-Vente+%7C+Paris+13%C3%A8me%7C+Rue+du+Moulin+des+Pr%C3%A9s/data=!4m7!3m6!1s0x47e67191d2a03ee5:0x1988676c11605b49!8m2!3d48.82845!4d2.3528!16s%2Fg%2F1thx_36p!19sChIJ5T6g0pFx5kcRSVtgEWxniBk?authuser=0&hl=fr&rclk=1,,,,"{""Fermé · Ouvre à 14"": ""00""}",Foncia,,,,,,,,,,scraped
Foncia Transaction France,foncia-transaction-france-00391,38-40 38 AVENUE DES GOBELINS 75013 PARIS,sirene,50369866400391,,,,,,,,,Foncia,,,,,,,,,,scraped
Promotion Pichet (pichet),promotion-pichet-pichet-00643,7 RUE GERDA TARO 75013 PARIS,sirene,41523551400643,,,,,,,,,indépendant,,,,,,,,,,scraped
Pluri-publi,pluri-publi-00315,189 RUE DE TOLBIAC 75013 PARIS,sirene,30220417700315,,,,,,,,,indépendant,,,,,,,,,,scraped
Julien Bidaud,julien-bidaud-00079,CHEZ M ET MME DOUSSAN MAIRLOT 85 RUE DE TOLBIAC 75013 PARIS,sirene,87843703700079,,,,,,,,,indépendant,,,,,,,,,,scraped
Leader Immo Web 888 (limw888),leader-immo-web-888-limw888-00011,8 AVENUE DE CHOISY 75013 PARIS,sirene,89784486600011,,,,,,,,,indépendant,,,,,,,,,,scraped
Leader Immo Web 888 (limw888),leader-immo-web-888-limw888-00037,164 BOULEVARD MASSENA 75013 PARIS,sirene,89784486600037,,,,,,,,,indépendant,,,,,,,,,,scraped
Leader Immo Web 888 (limw888),leader-immo-web-888-limw888-00045,7 RUE AUMONT 75013 PARIS,sirene,89784486600045,,,,,,,,,indépendant,,,,,,,,,,scraped
Leader Immo Web 888 (limw888),leader-immo-web-888-limw888-00052,CTRE CIAL MASSENA LOCAL 27 13 PLACE DE VENETIE 75013 PARIS,sirene,89784486600052,,,,,,,,,indépendant,,,,,,,,,,scraped
Corvisart,corvisart-00038,29 BOULEVARD AUGUSTE BLANQUI 75013 PARIS,"sirene,google_maps",44316030400038,"
01 45 88 86 86",,https://www.orpi.com/corvisart/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_paris%2013eme%20arrondissement&utm_content=corvisart,https://www.google.com/maps/place/Orpi+Immobilier+Corvisart+Paris+13eme/data=!4m7!3m6!1s0x47e67191ee896905:0xa1637db7b8cbc1ea!8m2!3d48.8300921!4d2.3525744!16s%2Fg%2F1thggbh2!19sChIJBWmJ7pFx5kcR6sHLuLd9Y6E?authuser=0&hl=fr&rclk=1,,,,"{""Ouvert · Ferme à 19"": ""00""}",indépendant,,,,,,,,,,scraped
Bellissimo,bellissimo-00061,44 AVENUE DES GOBELINS 75013 PARIS,sirene,44316030400061,,,,,,,,,indépendant,,,,,,,,,,scraped
Bpce Solutions Immobilieres,bpce-solutions-immobilieres-00089,7 PRO GERMAINE SABLON 75013 PARIS 13,sirene,40524449200089,,,,,,,,,indépendant,,,,,,,,,,scraped
Valerie Fayolle,valerie-fayolle-00024,STUDEA RIVE GAUCHE 43 AVENUE D'ITALIE 75013 PARIS,sirene,43815554100024,,,,,,,,,indépendant,,,,,,,,,,scraped
Orpi,orpi-00035,79 RUE BOBILLOT 75013 PARIS,sirene,45112228700035,,,,,,,,,Orpi,,,,,,,,,,scraped
Daniel Grosberg,daniel-grosberg-00029,136 AVENUE D'ITALIE 75013 PARIS,sirene,48746679900029,,,,,,,,,indépendant,,,,,,,,,,scraped
Cabinet Imocom Paris,cabinet-imocom-paris-00018,64 RUE DE PATAY 75013 PARIS,sirene,43395259500018,,,,,,,,,indépendant,,,,,,,,,,scraped
Amine Bouab,amine-bouab-00022,140 BOULEVARD MASSENA 75013 PARIS,sirene,50933354800022,,,,,,,,,indépendant,,,,,,,,,,scraped
